Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
Community-Based Economic Development Program,"State of Hawaii Department of Business, Economic Development and Tourism",0,400000,"Agricultural producers, manufacturing businesses, health and organic food stores, hydroponics, aquaculture businesses","Startup costs, working capital, construction or improvement of facilities, equipment, production and marketing expenses, labor and services",Hawaii,invest.hawaii.gov,https://invest.hawaii.gov/business/cbed/,Loan,Not specified,(808) 586-2355,96797
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Hawaii,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(808) 541-2600,96797
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Hawaii,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(808) 541-2600,96797
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Hawaii,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(808) 541-2600,96797
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Hawaii,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(808) 541-2600,96797
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Hawaii,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(808) 541-2600,96797
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Hawaii,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(808) 541-2600,96797
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Hawaii,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(808) 541-2600,96797
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Hawaii,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(808) 933-8380,96797
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Hawaii,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(808) 933-8380,96797
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Hawaii,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(808) 933-8380,96797
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Idaho,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(208) 378-5650,83646
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Idaho,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(208) 378-5650,83646
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Idaho,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(208) 378-5650,83646
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Idaho,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(208) 378-5650,83646
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Idaho,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(208) 378-5650,83646
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Idaho,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(208) 378-5650,83646
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Idaho,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(208) 378-5650,83646
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Idaho,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(208) 378-5600,83646
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Idaho,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(208) 378-5600,83646
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Idaho,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(208) 378-5600,83646
